id_produto,nome_produto,categoria,descricao,preco,ativo
93,Occaecati Ultra,Eletrodomésticos,Consequatur veniam commodi dolor.,2994.59,True
94,Id Lite,Eletrodomésticos,Accusantium esse ducimus labore.,4429.06,True
95,Rem Max,Telefonia,Voluptatum repellat earum delectus.,6041.81,False
96,Consectetur Plus,Eletrodomésticos,Quo dolore natus sequi laudantium doloribus illum.,5811.56,True
97,Quae Pro,Eletrodomésticos,Nam quidem expedita repellat blanditiis repudiandae.,7149.13,True
98,Consequatur Plus,Móveis,Optio itaque ab aliquam provident.,1045.74,True
99,Necessitatibus Plus,Telefonia,Recusandae iste soluta minima beatae hic odio.,4654.47,True
100,Error Plus,Telefonia,Amet nisi consequuntur odio assumenda.,6067.84,True
101,Dignissimos Ultra,Eletrodomésticos,Porro natus commodi eveniet consequuntur quam sit eius.,600.38,True
102,Tenetur Lite,Informática,Aut harum asperiores consectetur necessitatibus laudantium dolor.,1228.37,False
103,Repellat Lite,Móveis,Vero mollitia eum possimus.,1790.61,True
104,Voluptate Pro,Móveis,Ab nobis enim harum.,2231.68,True
105,Ipsa Lite,Telefonia,Numquam laudantium a atque error sed nisi deleniti.,3759.35,True
106,Quasi Ultra,Eletrodomésticos,Ut qui explicabo nam voluptatum blanditiis blanditiis est.,4026.26,False
107,Aliquam Lite,Informática,Ipsam sunt aut officia eius.,2466.49,True
108,Facere Max,Acessórios,Animi quis neque ipsum accusamus fugit.,1251.95,True
109,Iure Ultra,Eletrodomésticos,Voluptate minima molestias.,714.96,True
110,Dolorem Plus,Eletrodomésticos,Voluptas deleniti eius.,3237.41,False
111,Nemo Max,Acessórios,Ab provident dolorem officiis impedit.,2373.6,True
112,Eaque Plus,Móveis,Earum suscipit blanditiis consectetur perspiciatis.,5985.55,True
113,Non Pro,Informática,Possimus rem natus dicta repudiandae.,2001.96,False
114,Velit Max,Eletrodomésticos,Impedit tempore sint ut maiores at.,7478.4,False
115,Facere Lite,Telefonia,Numquam dolor eum facere voluptas.,127.28,True
116,Possimus Pro,Informática,Cum iure est explicabo laborum quos.,2542.21,True
117,Ipsa Pro,Informática,Quibusdam numquam quis corporis adipisci alias sit.,4384.13,True
118,Veniam Ultra,Móveis,Officia perspiciatis quos at dolorem error asperiores.,2586.74,False
119,Totam Lite,Eletrodomésticos,Necessitatibus laborum reprehenderit doloribus possimus quam.,7867.18,True
120,Tempora Ultra,Acessórios,Pariatur molestias quisquam possimus explicabo ab ea.,4919.87,True
121,Illo Plus,Eletrodomésticos,Quo veritatis veniam voluptatum maiores.,5689.3,True
122,Placeat Pro,Móveis,Nam sint asperiores beatae voluptate.,491.62,True
123,Consectetur Pro,Informática,Fugit vel minus nisi enim dolore.,3717.23,True
124,Accusamus Ultra,Móveis,Eum deleniti ipsum labore fuga quam ad.,3891.15,True
125,Voluptatibus Ultra,Telefonia,Rerum mollitia a officiis quo.,6286.32,True
126,Praesentium Ultra,Eletrodomésticos,Corrupti velit cumque odit necessitatibus autem.,6136.27,True
127,Asperiores Max,Eletrodomésticos,Sunt omnis amet numquam.,5560.18,False
128,Libero Ultra,Eletrodomésticos,Non expedita eveniet sint asperiores quibusdam.,7259.79,True
129,Nemo Max,Telefonia,Culpa dolorem repellat excepturi distinctio.,5526.98,True
130,Nesciunt Ultra,Acessórios,Dolore ut nihil fugit adipisci.,2844.68,True
131,Nisi Ultra,Acessórios,Aspernatur rem tempora rem.,3140.68,False
132,Illo Pro,Móveis,Ad odit aut libero accusamus.,682.7,False
133,Labore Lite,Informática,Quod eveniet illum officia incidunt est.,6315.58,True
134,Ab Pro,Móveis,Libero expedita modi possimus ipsam.,1669.06,True
135,Eum Lite,Eletrodomésticos,Fugiat modi saepe.,4538.39,True
136,Earum Plus,Acessórios,Facere tempore quis ratione.,2269.96,True
137,Officia Pro,Informática,Harum blanditiis quos eveniet.,6944.32,True
138,Numquam Pro,Móveis,Sapiente officiis saepe adipisci debitis neque quas.,2513.11,True
139,Magnam Ultra,Informática,Recusandae quaerat vero quidem dolor.,6720.34,True
140,Officia Pro,Eletrodomésticos,Reiciendis dolorum sunt quod iure.,3458.6,True
141,Quaerat Plus,Telefonia,Nobis doloremque harum fugit ab tempora.,1916.69,False
142,Hic Ultra,Móveis,Eum fugiat error consequuntur eaque enim aspernatur.,5648.87,True
143,Molestiae Pro,Móveis,Necessitatibus ab dicta consequuntur eveniet quaerat dolor voluptatum.,7515.96,True
144,Inventore Plus,Móveis,Sed velit soluta cumque.,646.02,True
145,Impedit Ultra,Acessórios,Tempore provident vitae dicta corrupti inventore.,1607.94,True
146,Minima Max,Telefonia,Hic harum neque porro.,4663.52,True
147,Nobis Max,Móveis,Quisquam sint voluptate architecto quis adipisci voluptatem.,2798.06,False
148,Consequuntur Plus,Acessórios,Tenetur alias quibusdam culpa.,2817.24,True
149,Dolorum Pro,Acessórios,Soluta magni dicta culpa.,116.6,False
150,Eius Lite,Móveis,Harum maiores deleniti et voluptates quisquam a.,6961.72,True
151,Odit Max,Telefonia,Earum numquam sint omnis fuga dicta corrupti.,5329.91,True
152,Sequi Pro,Telefonia,Quidem sed veritatis minus.,354.04,False
153,Aliquam Pro,Acessórios,Quo quidem dolorem culpa cum excepturi quae architecto.,4441.51,True
154,Cum Plus,Telefonia,Amet officiis impedit.,1830.78,True
155,Quasi Max,Eletrodomésticos,Consequuntur laboriosam quos occaecati ratione officiis.,7049.38,True
156,Voluptatibus Lite,Acessórios,Error rem culpa iste necessitatibus aspernatur.,2299.63,True
157,Soluta Ultra,Acessórios,Iste pariatur veniam veniam.,4646.38,True
158,Odio Max,Móveis,Totam eos omnis distinctio cupiditate tempora aliquid dicta.,3769.25,True
159,Perferendis Plus,Eletrodomésticos,Temporibus sunt veniam fugiat deserunt.,1611.19,True
160,Sapiente Plus,Móveis,Quas reiciendis praesentium dignissimos maiores quisquam ipsam.,1053.48,True
161,Incidunt Ultra,Acessórios,Aspernatur aut ipsum ipsum cumque omnis.,6409.76,True
162,Nostrum Plus,Telefonia,Veniam earum commodi provident beatae dolor.,4998.82,True
163,Repudiandae Plus,Informática,Non reiciendis inventore alias expedita porro.,3295.6,True
164,Deserunt Ultra,Móveis,Temporibus neque minima maxime amet repellendus nobis.,4950.63,True
165,Libero Ultra,Acessórios,Veritatis dolorum laboriosam natus quaerat debitis vitae asperiores.,3815.09,True
166,Aperiam Max,Telefonia,Similique consectetur quidem tempore accusamus rerum minima.,2137.67,True
167,Ipsa Plus,Telefonia,Velit autem occaecati labore placeat asperiores dolore.,7881.23,False
168,Voluptatibus Lite,Móveis,Aspernatur maxime sit ut non nemo sequi enim.,5044.32,True
169,Totam Ultra,Acessórios,Reprehenderit totam saepe quas.,5894.16,False
170,Ut Ultra,Acessórios,Aliquid asperiores accusamus labore assumenda atque aut.,67.31,False
171,Aliquam Ultra,Acessórios,Necessitatibus eaque voluptas rerum.,3502.39,False
172,Error Max,Telefonia,Placeat est ipsa.,534.87,False
173,Quas Pro,Eletrodomésticos,Quo quis aut praesentium.,729.63,False
174,Laudantium Lite,Telefonia,Quasi culpa dolorem dolorem ducimus.,5664.64,True
175,Minima Ultra,Telefonia,Ab excepturi aliquid beatae.,3321.56,True
176,Laudantium Lite,Informática,Vero eaque unde recusandae ipsa sapiente.,5408.01,True
177,Temporibus Lite,Eletrodomésticos,Quae nostrum soluta in doloribus maxime occaecati.,7307.24,False
178,Tempora Pro,Eletrodomésticos,Aperiam sit eaque.,2021.54,True
179,Illum Pro,Informática,Sapiente corrupti maiores sit.,2460.12,True
180,Officiis Max,Eletrodomésticos,Quos iusto quidem odit quod iure quaerat.,5694.59,False
181,Eaque Pro,Eletrodomésticos,Sequi vel eum magni mollitia reprehenderit.,2861.26,True
182,Illum Pro,Móveis,Possimus dolorem modi itaque.,6618.21,False
183,Id Ultra,Eletrodomésticos,Minus maxime deleniti recusandae consequatur laboriosam dolorum.,5982.54,True
184,Animi Pro,Móveis,Nulla molestiae veritatis vero commodi et cum itaque.,6273.84,True
185,Optio Plus,Telefonia,Officiis fuga voluptatem eligendi eum.,3609.57,True
186,Ipsa Ultra,Acessórios,Nostrum veritatis accusantium quis.,3951.9,False
187,Harum Lite,Telefonia,Illum dolorum modi ad laboriosam voluptate dolore.,7603.15,False
188,Minus Ultra,Eletrodomésticos,Quos harum voluptate ut.,4322.47,True
189,Quod Max,Telefonia,Cupiditate laborum modi architecto dolorem ad.,1326.56,False
190,Optio Max,Acessórios,Assumenda explicabo nostrum quis necessitatibus.,1325.77,False
191,Suscipit Plus,Telefonia,Doloremque fugiat molestiae nesciunt corrupti eligendi facilis.,3505.32,False
192,Aperiam Pro,Móveis,Libero ut esse qui.,1220.78,False
193,Corporis Lite,Eletrodomésticos,Sapiente a praesentium a deserunt.,4781.92,True
194,Explicabo Plus,Telefonia,Nostrum illum animi temporibus deleniti.,2626.77,True
195,Consequuntur Lite,Acessórios,Iste quas labore cumque in sequi nostrum tempora.,7452.98,True
196,Dicta Ultra,Eletrodomésticos,Nemo adipisci recusandae alias ex.,3869.96,True
197,Quasi Ultra,Móveis,Atque nobis ipsa doloremque.,1811.01,True
198,Saepe Plus,Móveis,Soluta nulla sed possimus quidem.,5770.84,True
199,Eius Lite,Eletrodomésticos,Natus provident consequatur rerum adipisci.,5740.23,False
200,Quo Pro,Informática,Doloremque illo at.,5453.83,True
